x,y
147.4719,137.4233
181.6011,136.1963
186.6573,130.0613
192.1348,144.0491
199.2978,144.0491
177.3876,160.2454
182.4438,168.0982
195.0843,171.2883
187.5,152.3926
187.5,154.1104
184.1292,154.3558
199.7191,152.1472
190.4494,152.1472
197.6124,156.0736
195.0843,156.0736
186.236,160
189.1854,159.2638
191.7135,158.0368
192.9775,159.5092
192.9775,162.9448
190.8708,162.9448
207.3034,155.3374
203.0899,159.2638
198.4551,161.227
197.191,163.9264
198.8764,168.3436
203.0899,166.135
201.8258,163.1902
204.3539,161.9632
206.882,160.7362
222.0506,160
233.0056,159.0184
238.4831,162.2086
234.2697,166.135
240.5899,167.362
243.118,169.816
243.118,171.5337
262.0787,171.7791
214.0449,166.135
214.0449,164.908
219.5225,166.135
207.3034,169.3252
206.0393,174.4785
205.1966,176.4417
199.7191,176.1963
199.7191,177.1779
214.0449,182.3313
210.2528,183.3129
214.0449,189.2025
220.3652,185.0307
214.4663,178.4049
210.6742,170.0613
214.4663,171.5337
216.573,173.2515
214.8876,175.2147
216.1517,167.8528
216.573,170.7975
217.4157,169.816
219.9438,169.816
221.6292,172.2699
222.0506,174.4785
225,173.2515
228.3708,173.9877
226.6854,168.0982
233.427,169.0798
231.3202,170.5521
231.7416,172.0245
240.1685,173.2515
235.9551,175.2147
233.8483,170.3067
225,176.4417
222.4719,180.1227
220.7865,180.1227
225.4213,178.1595
224.5787,178.6503
227.9494,177.6687
230.0562,179.8773
227.9494,182.8221
227.5281,184.5399
222.8933,187.2393
235.5337,178.1595
248.1742,175.4601
243.9607,175.2147
254.9157,176.4417
231.7416,181.5951
232.1629,184.2945
235.5337,186.5031
233.427,187.4847
229.2135,191.411
230.8989,197.3006
231.7416,189.9387
232.1629,191.1656
235.5337,190.9202
239.3258,192.8834
239.3258,198.5276
241.4326,200.2454
241.8539,178.4049
247.3315,177.4233
245.2247,178.6503
246.0674,181.1043
236.7978,179.3865
312.6404,207.1166
305.4775,225.2761
303.3708,225.0307
297.0506,228.2209
302.5281,232.1472
262.5,222.3313
256.1798,219.3865
260.8146,213.4969
267.1348,213.4969
268.3989,215.9509
272.191,219.8773
289.4663,224.0491
292.4157,222.8221
289.8876,221.8405
285.6742,219.8773
291.9944,203.4356
282.3034,187.2393
281.4607,190.9202
286.0955,195.3374
271.3483,184.5399
277.6685,186.2577
265.0281,182.0859
253.2303,209.0798
248.1742,204.1718
248.1742,202.2086
246.0674,197.3006
248.1742,195.092
245.6461,193.1288
299.1573,217.1779
296.6292,215.9509
290.309,217.1779
290.7303,209.0798
286.9382,208.589
277.2472,216.1963
280.618,216.4417
283.1461,215.9509
286.0955,216.1963
286.0955,214.2331
286.5169,210.5521
286.5169,212.2699
279.3539,212.7607
280.1966,210.7975
276.4045,210.7975
273.8764,211.0429
281.882,208.8344
275.5618,207.8528
273.8764,207.8528
270.927,207.8528
266.7135,209.0798
260.8146,210.0613
257.8652,208.3436
259.5506,206.3804
262.5,207.1166
265.8708,207.1166
284.8315,199.0184
281.882,198.2822
280.618,197.0552
276.8258,195.3374
258.7079,181.3497
256.6011,182.5767
254.073,184.2945
257.4438,185.0307
259.9719,183.5583
263.764,183.5583
259.5506,185.0307
261.6573,186.9939
253.2303,187.2393
254.9157,187.9755
258.2865,189.4479
260.8146,191.6564
262.9213,190.6748
262.5,188.7117
264.6067,188.2209
268.8202,187.4847
270.927,189.2025
273.4551,189.4479
266.7135,190.184
267.9775,192.1472
264.1854,191.411
233.8483,182.5767
235.5337,183.8037
239.3258,181.8405
236.7978,181.5951
241.8539,183.3129
245.2247,183.3129
247.7528,184.2945
249.0169,183.5583
240.5899,186.0123
244.8034,186.2577
238.9045,183.3129
244.8034,184.5399
240.5899,190.4294
237.2191,188.9571
242.2753,191.1656
246.4888,188.9571
247.3315,190.6748
243.5393,189.4479
249.0169,193.1288
254.9157,195.092
253.2303,194.3558
253.2303,198.5276
252.3876,197.0552
253.2303,200
254.4944,200.9816
254.9157,201.9632
254.4944,204.908
253.6517,205.6442
260.3933,203.9264
271.3483,204.1718
266.7135,203.9264
270.0843,202.454
270.5056,201.227
272.6124,200.4908
260.3933,201.227
258.2865,201.4724
248.1742,186.5031
241.4326,185.0307
258.7079,199.2638
258.7079,197.3006
272.6124,195.092
272.6124,196.8098
274.7191,198.0368
273.0337,198.0368
270.5056,199.0184
266.2921,201.227
269.6629,195.8282
268.3989,195.3374
262.0787,195.092
261.6573,197.0552
266.2921,197.3006
268.8202,197.0552
265.8708,196.319
279.7753,201.227
278.5112,204.4172
284.8315,204.1718
281.4607,203.4356
278.5112,202.454
280.618,205.6442
283.5674,206.135
255.7584,204.1718
280.1966,214.2331
