x,y
1.469149,1.128205
1.543617,1.185897
1.580851,1.189103
1.63227,1.163462
1.733333,1.24359
1.742199,1.282051
1.830851,1.217949
1.781206,1.410256
1.774113,1.567308
1.830851,1.429487
1.891135,1.413462
2.121631,1.480769
2.031206,1.548077
2.112766,1.580128
2.110993,1.641026
2.151773,1.599359
2.15,1.708333
2.201418,1.721154
2.210284,1.762821
2.252837,1.75
2.19078,1.650641
2.240426,1.660256
2.279433,1.605769
2.240426,1.692308
2.311348,1.650641
2.298936,1.679487
2.311348,1.692308
2.320213,1.730769
2.279433,1.75641
2.290071,1.730769
2.281206,1.836538
2.320213,1.839744
2.330851,1.923077
2.403546,1.839744
2.398227,1.807692
2.369858,1.698718
2.350355,1.685897
2.408865,1.727564
2.431915,1.740385
2.42305,1.910256
2.451418,1.878205
2.446099,1.846154
2.462057,1.782051
2.502837,1.762821
2.497518,1.782051
2.531206,1.762821
2.508156,1.839744
2.52234,1.926282
2.52234,1.88141
2.538298,1.875
2.571986,1.833333
2.556028,1.852564
2.589716,1.910256
2.602128,1.855769
2.600355,1.826923
2.621631,1.836538
2.639362,1.814103
2.587943,1.884615
2.619858,1.932692
2.63227,1.900641
2.648227,1.865385
2.671277,1.865385
2.653546,1.897436
2.618085,2.096154
2.641135,2.125
2.65,2.054487
2.69078,2.092949
2.651773,1.99359
2.641135,2.012821
2.681915,1.951923
2.701418,1.958333
2.674823,1.990385
2.689007,1.99359
2.697872,2.009615
2.715603,2
2.722695,2.009615
2.728014,2.144231
2.781206,2.179487
2.821986,2.230769
2.850355,2.221154
2.852128,2.272436
2.852128,2.314103
2.763475,2.108974
2.767021,2.128205
2.749291,2.051282
2.763475,2.051282
2.770567,1.974359
2.770567,1.945513
2.747518,1.948718
2.798936,1.926282
2.823759,1.967949
2.802482,2.041667
2.820213,2.038462
2.852128,2.054487
2.852128,2.038462
2.862766,2.525641
2.960284,2.439103
2.951418,2.362179
2.910638,2.320513
2.87695,2.105769
2.901773,2.099359
2.901773,2.205128
2.921277,2.201923
2.919504,2.240385
2.937234,2.269231
2.96383,2.301282
2.947872,2.246795
2.967376,2.25641
2.983333,2.003205
3.02234,2.003205
3.02234,2.057692
3.093262,2.035256
2.997518,2.099359
2.96383,2.089744
2.960284,2.125
2.947872,2.150641
2.953191,2.179487
2.962057,2.195513
2.986879,2.176282
3.006383,2.208333
3.024113,2.166667
3.001064,2.166667
3.12695,2.176282
3.048936,2.339744
3.079078,2.294872
3.080851,2.336538
3.118085,2.352564
3.139362,2.336538
3.164184,2.371795
3.181915,2.480769
3.23156,2.512821
3.228014,2.423077
3.199645,2.301282
