 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,BastianSaputra1mp4-00133.jpeg:1_1_l,94,273,462.25,-31.547,92.7,9,2,2,1,1,unidentified,
2,BastianSaputra1mp4-00133.jpeg:1_1_w,25,279.75,467.25,58.627,24.01,9,2,2,1,1,unidentified,
3,BastianSaputra1mp4-00133.jpeg:2_1_l,130,296.833,565.333,-3.114,128.857,9,2,2,1,1,unidentified,
4,BastianSaputra1mp4-00133.jpeg:2_1_w,30,312.333,568,-90.659,29.002,9,2,2,1,1,unidentified,
5,BastianSaputra1mp4-00133.jpeg:3_1_l,117,1441,731.333,-100.731,116.368,9,2,2,1,1,female ,BastianSaputra1mp4-00133.jpeg:4_1_l
6,BastianSaputra1mp4-00133.jpeg:3_1_w,34,1447.167,710,-11.195,32.621,9,2,2,1,1,female ,BastianSaputra1mp4-00133.jpeg:4_1_w
7,BastianSaputra1mp4-00133.jpeg:4_1_l,71,1479,754,-102.381,69.96,9,2,2,1,1,calf,BastianSaputra1mp4-00133.jpeg:3_1_l
8,BastianSaputra1mp4-00133.jpeg:4_1_w,22,1482.5,743.5,-14.931,20.699,9,2,2,1,1,calf ,BastianSaputra1mp4-00133.jpeg:3_1_w
9,BastianSaputra1mp4-00133.jpeg:5_1_l,103,1721.25,364.25,13.9,101.987,9,2,2,1,1,unidentified,
10,BastianSaputra1mp4-00133.jpeg:5_1_w,29,1734.25,365.125,-74.338,27.782,9,2,2,1,1,unidentified,
