 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,Ferty_Friwenmp4-00039.jpeg:1_5_l,135,279.333,337.667,-129.751,133.969,4,1,2,1,1,female ,Ferty_Friwenmp4-00039.jpeg:2_5_l
2,Ferty_Friwenmp4-00039.jpeg:1_5_w,30,289.167,326,-40.815,29.069,4,1,2,1,1,female ,Ferty_Friwenmp4-00039.jpeg:2_5_w
3,Ferty_Friwenmp4-00039.jpeg:2_5_l,86,237.5,335.333,-126.556,85.068,4,1,2,1,1,calf,Ferty_Friwenmp4-00039.jpeg:1_5_l
4,Ferty_Friwenmp4-00039.jpeg:2_5_w,20,245.167,324.833,-36.469,19.067,4,1,2,1,1,calf ,Ferty_Friwenmp4-00039.jpeg:1_5_w
5,Ferty_Friwenmp4-00039.jpeg:4_5_l,103,103.125,532.375,-113.125,102.485,4,1,2,1,1,unidentified,
6,Ferty_Friwenmp4-00039.jpeg:4_5_w,24,106.75,522.375,-23.279,23.405,4,1,2,1,1,unidentified,
7,Ferty_Friwenmp4-00039.jpeg:5_1_l,119,63.75,698.625,-110.315,118.096,4,1,2,1,1,unidentified,
8,Ferty_Friwenmp4-00039.jpeg:5_1_w,26,67,685.25,-21.371,24.698,4,1,2,1,1,unidentified,
9,Ferty_Friwenmp4-00039.jpeg:3_5_l,134,242.833,99.167,-158.305,133.453,4,1,2,1,1,unidentified,
10,Ferty_Friwenmp4-00039.jpeg:3_5_w,32,252.5,92.5,-66.161,31.34,4,1,2,1,1,unidentified,
