 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual
1,GH034207_1mp4-00013.jpeg:1_1_l,42,572.417,356,-62.403,41.374,9,1,2,1,1,unidentified
2,GH034207_1mp4-00013.jpeg:1_1_w,11,570.833,351.75,26.565,10.062,9,1,2,1,1,unidentified
3,GH034207_1mp4-00013.jpeg:2_1_l,53,587.75,469.417,-123.125,51.543,9,1,2,1,1,unidentified
4,GH034207_1mp4-00013.jpeg:2_1_w,16,590.5,464.333,-32.276,14.981,9,1,2,1,1,unidentified
5,GH034207_1mp4-00013.jpeg:3_1_l,42,656.375,463.5,-98.13,40.659,9,1,2,1,1,unidentified
6,GH034207_1mp4-00013.jpeg:3_1_w,14,657.312,457.875,-7.74,12.993,9,1,2,1,1,unidentified
7,GH034207_1mp4-00013.jpeg:4_1_l,52,888.25,537,-104.676,50.653,9,1,2,1,1,unidentified
8,GH034207_1mp4-00013.jpeg:4_1_w,14,890,530.083,-15.068,13.463,9,1,2,1,1,unidentified
9,GH034207_1mp4-00013.jpeg:5_1_l,39,911.062,406.812,-106.896,38.277,9,1,2,1,1,unidentified
10,GH034207_1mp4-00013.jpeg:5_1_w,11,911.688,402.25,-16.899,10.321,9,1,2,1,1,unidentified
