 ,Label,Area,X,Y,Angle,Length,Resolution ,Contrast,Distortion,Partial ,Angle_quality,type_individual,female_calf_couple
1,GH034215_1mp4-00050.jpeg:1_2_l,65,1534.333,793.667,-0.6,63.67,4,1,2,1,1,female,
2,GH034215_1mp4-00050.jpeg:1_2_w,15,1540.167,792.833,-88.636,14.004,4,1,2,1,1,female,
3,GH034215_1mp4-00050.jpeg:2_2_l,57,1705.75,613,50.89,56.276,4,1,2,1,1,unidentified,
4,GH034215_1mp4-00050.jpeg:2_2_w,17,1700.667,618.917,-40.272,15.728,4,1,2,1,1,unidentified,
5,GH034215_1mp4-00050.jpeg:3_2_l,53,1491.312,555.125,9.123,52.033,4,1,2,1,1,unidentified,
6,GH034215_1mp4-00050.jpeg:3_2_w,15,1497.125,553.75,-79.875,14.221,4,1,2,1,1,unidentified,
7,GH034215_1mp4-00050.jpeg:5_1_l,44,913.5,412.917,-42.621,42.581,4,1,2,1,1,female,GH034215_1mp4-00050.jpeg:6_1_l
8,GH034215_1mp4-00050.jpeg:5_1_w,12,917.833,415.917,45.616,10.961,4,1,2,1,1,female,GH034215_1mp4-00050.jpeg:6_1_w
9,GH034215_1mp4-00050.jpeg:6_1_l,34,906.833,393.083,-23.236,33.374,4,1,2,1,1,calf,GH034215_1mp4-00050.jpeg:5_1_l
10,GH034215_1mp4-00050.jpeg:6_1_w,10,910.833,394.25,64.916,8.649,4,1,2,1,1,calf,GH034215_1mp4-00050.jpeg:5_1_w
